Park Name,OpenStreetMap,Google Maps,Notes,Google Busy Times Successful?
ABORN PARK,No,No,,
ALMADEN LAKE PARK,Yes,Yes,,
ALMADEN MEADOWS PARK,Yes,Yes,,
ALMADEN WINERY PARK,Yes,Yes,,
ALUM ROCK PARK,Yes,Yes,,"Yes, no busy times"
ALVISO PARK,Yes,Yes,,
ARENA GREEN EAST,Yes,Yes,,
ARENA GREEN WEST,,,,
AVENIDA ESPANA PARK,No,Yes,,
BACKESTO PARK,,,,
BASKING RIDGE PARK,,,,
BELLEVUE PARK,,,,
BERNAL PARK,,,,
BERRYESSA CREEK PARK,Yes,Yes,,
BESTOR ART PARK,,,,
BIEBRACH PARK,,,,
BOGGINI PARK,,,,
BONITA PARK,,,,
BRAMHALL PARK,,,,
BRANHAM PARK,,,,
BRENDA LOPEZ PLAZA,,,,
BRIGADOON PARK,,,,
BROOKTREE PARK,,,,
BUENA VISTA PARK,,,,
BUTCHER PARK,,,,
CAHALAN PARK,,,,
CAHILL PARK,,,,
CALABAZAS (BMX) BIKE PARK,,,,
CALABAZAS PARK,,,,
CALERO PARK,,,,
CAMDEN PARK,No,No,,
CANOAS PARK,,,,
CANYON CREEK PARK,,,,
CAPITOL PARK,,,,
CAROLYN NORRIS PARK,,,,
CARRABELLE PARK,,,,
CATALDI PARK,,,,
CATHEDRAL OAKS PARK,CATHEDRAL OAKS PARK,Incomplete,,
CENTURY OAKS PARK,,,,
CHARLOTTE COMMON PARK,,,,
CHILDREN OF THE RAINBOW PARK,,,,
CHRIS HOTTS PARK,,,,
CHYNOWETH PARK,,,,
CIMARRON PARK,,,,
COLUMBUS PARK 1,,,,
COMANCHE PARK,,,,
COMMODORE PARK,,,,
CONFLUENCE POINT,,,,
COY AVENUE PARK,,,,
DANNA ROCK PARK,,,,
DE ANZA PARK,,,,
DEL MONTE PARK,,,,
DOERR PARK,,,,
DOVE HILL PARK,,,,
EDENVALE GARDEN PARK,,,,
EMMA PRUSCH FARM PARK,,,,
EVERGREEN PARK,,,,
FAIR SWIM CENTER AND TOT LOT,,,,
FALLS CREEK LANDS,,,,
FALLS CREEK PARK,,,,
FERNISH PARK,,,,
FLEMING PARK,,,,
FLICKINGER PARK,,,,
FOOTHILL PARK,Yes,Yes,,
FORESTDALE TOT LOT,,,,
FOWLER CREEK PARK,,,,
FRANK M. SANTANA PARK,,,,
FULLER PARK,,,,
GEORGE PAGE PARK,,,,
GLEASON AVENUE MINI PARK,,,,
GLENVIEW PARK,,,,
GRAN PARADISO PARK,No,Yes,,
GREAT OAKS PARK,,,,
GREGORY PLAZA TOT LOT,,,,
GREYSTONE PARK,,,,
GROESBECK HILL PARK,,,,
GUADALUPE GARDENS AND HERITAGE ROSE GARDEN,,,,
GUADALUPE OAK GROVE PARK,,,,
GUADALUPE RIVER PARK,,,,
GUADALUPE RIVER PARK,,,,
GUADALUPE RIVER PARK,,,,
GULLO PARK,,,,
HACIENDA PARK,,,,
HAPPY HOLLOW PARK AND ZOO,,,,
HATHAWAY PARK,,,,
HESTER PARK,,,,
HILLVIEW PARK,,,,
HISTORY PARK AND MUSEUM,,,,
HOUGE PARK,,,,
HUERTA TOT LOT,,,,
HUMMINGBIRD PARK,,,,
JACKSON MADDEN PARK,,,,
JEFFREY FONTANA PARK EAST,,,,
JOHN P. MCENERY PARK,Incomplete,Yes,openstreet inc: 'John P.' missing from label,
KELLEY PARK,,,,
KELLEY PARK JAPANESE FRIENDSHIP GRDN,,,,
KIRK PARK,,,,
LA COLINA PARK,,,,
LA RAGGOINE TOT LOT,,,,
LAKE CUNNINGHAM PARK,,,,
LIEF ERIKSON PARK,,,,
LINCOLN GLEN PARK,,,,
LO BUE PARK,,,,
LONE BLUFF MINI PARK,,,,
LONE HILL PARK,,,,
LOS PASEOS PARK,Yes,Yes,,
LUNA PARK,,,,
MARIJANE HAMANN PARK,,,,
MARTIN PARK,,,,
MAYFAIR PARK,Yes,Yes,,
MCLAUGHLIN PARK,,,,
MEADOWFAIR PARK,,,,
MEADOWS PARK,,,,
MELODY PARK,,,,
METCALF PARK,,,,
MINER PARK,,,,
MISE PARK,,,,
MIYUKI DOG PARK,,,,
MOITOZO PARK,,,,
MONTGOMERY HILL PARK,,,,
MT. PLEASANT PARK,,,,
MUNICIPAL ROSE GARDEN,,,,
MURDOCK PARK,,,,
NANCY LANE PLAZA,,,,
NEWHALL PARK,,,,
NISICH PARK,,,,
NOBLE PARK,,,,
NORTHWOOD PARK,,,,
O'CONNER PARK,,,,
O'DONNELL GARDEN PARK,,,,
O'MALLEY STEINBECK SPORTS FIELD,,,,
ORCHARD PARK,,,,
OUR PARK,,,,
OVERFELT GARDEN PARK,,,,
PAL STADIUM,,,,
PALMIA PARK,Yes,Yes,,
PARKVIEW I PARK,,,,
PARKVIEW II PARK,,,,
PARKVIEW III PARK,,,,
PARMA PARK,,,,
PARQUE DE LA AMISTAD,,,,
PARQUE DE LOS POBLEDORES PLAZA,,,,
PARQUE DE PADRE MATEO SHEEDY,,,,
PAUL MOORE PARK,,,,
PELLIER PARK,,,,
PENITENCIA CREEK PARK,,,,
PFEIFFER PARK,,,,
PIERCY PARK,,,,
PLATA ARROYO PARK,,,,
PLAYA DEL REY PARK,Yes,Incomplete,Inc google: address differs from city website,
PLAZA DE CESAR CHAVEZ PARK,,,,
RAINBOW PARK,,,,
RALEIGH LINEAR GREEN,Yes,Yes,,
RAMAC PARK,,,,
RAMBLEWOOD PARK,,,,
RIVER GLEN PARK,,,,
RIVER OAKS PARK,Yes,Yes,,
RIVERVIEW PARK,,,,
ROBERTO ANTONIO BALERMINO PARK,,,,
ROCK SPRINGS PARK,,,,
ROOSEVELT PARK,Yes,Yes,,
ROSEMARY GARDEN PARK,,,,
ROY AVENUE PARK,,,,
RUBINO PARK,,,,
RUSSO PARK,,,,
RYLAND DOG PARK,,,,
RYLAND PARK,,,,
SAN ANTONIO TOT LOT,,,,
SAN TOMAS PARK,,,,
SARATOGA CREEK DOG PARK,,,,
SARATOGA CREEK PARK,,,,
SCENIC MEADOWS PARK,No,No,,
SCOTTSDALE PARK,,,,
SELMA OLINDER DOG PARK,,,,
SELMA OLINDER PARK,Yes,Yes,,
SHADY OAKS PARK,,,,
SHEPPARD SPORTS FIELD,,,,
SILVER CREEK LINEAR PARK,Yes,Yes,,
SILVER CREEK LINEAR PARK 2,,,,
SILVER LEAF PARK,,,,
SINGER PARK,,,,
SOLARI PARK,No,Yes,,
ST. ELIZABETH PARK,,,,
ST. JAMES PARK,,,,
STARBIRD PARK,,,,
STONEGATE PARK,,,,
SYLVIA CASSELL PARK,,,,
T.J. MARTIN PARK,,,,
TERRELL PARK,,,,
THEODORE LENZEN PARK,Yes,Yes,,
THOUSAND OAKS PARK,,,,
TOWNSEND PARK,,,,
TULLY COMMUNITY BALLFIELDS,,,,
TURTLE ROCK PARK,,,,
VIEIRA PARK,,,,
VIEIRA PARK OUTLOOK,,,,
VIETNAMESE HERITAGE GARDEN,,,,
VINCI PARK,,,,
VISTA MONTANA COMMUNITY PARK,,,,
VISTA PARK,,,,
WALLENBERG PARK,,,,
WATERFORD PARK,Yes,Yes,,
WATSON DOG PARK,,,,
WATSON PARK,,,,
WELCH PARK,,,,
WEST EVERGREEN PARK,,,,
WILCOX PARK,,,,
WILLIAM H. CILKER,Yes,No,,
WILLIAM STREET PARK,Yes,Yes,,
WINDMILL SPRINGS PARK,No,No,,
ZOLEZZI PARK,No,Yes,,